feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,203886,x,203886,x,204769,x,204769,x,-883,x,-883,x
ohne Wahlschein,146306,71.8,146306,71.8,164007,80.1,164007,80.1,-17701,-8.3,-17701,-8.3
mit Wahlschein,57580,28.2,57580,28.2,40762,19.9,40762,19.9,16818,8.3,16818,8.3
Wählende,120218,59,120218,59,128151,62.6,128151,62.6,-7933,-3.6,-7933,-3.6
darunter Briefwählende,50887,42.3,50887,42.3,36971,28.8,36971,28.8,13916,13.5,13916,13.5
Abgegebene Stimmen,120093,x,120051,x,127951,x,128036,x,-7858,x,-7985,x
Ungültige Stimmen,923,0.8,783,0.7,1865,1.5,1930,1.5,-942,-0.7,-1147,-0.9
Gültige Stimmen,119170,99.2,119268,99.3,126086,98.5,126106,98.5,-6916,0.7,-6838,0.9
SPD,21555,18.1,19746,16.6,31788,25.2,27172,21.5,-10233,-7.1,-7426,-5
CDU,24876,20.9,24133,20.2,17625,14,17076,13.5,7251,6.9,7057,6.7
GRÜNE,35837,30.1,32445,27.2,28497,22.6,26901,21.3,7340,7.5,5544,5.9
DIE LINKE,18613,15.6,18898,15.8,22056,17.5,22154,17.6,-3443,-1.9,-3256,-1.7
AfD,6668,5.6,6720,5.6,12659,10,12480,9.9,-5991,-4.4,-5760,-4.3
FDP,5438,4.6,6062,5.1,7168,5.7,8333,6.6,-1730,-1.1,-2271,-1.5
Die PARTEI,2183,1.8,1941,1.6,1015,0.8,3687,2.9,1168,1,-1746,-1.3
Tierschutzpartei,2542,2.1,2319,1.9,x,x,1871,1.5,2542,2.1,448,0.5
PIRATEN,218,0.2,458,0.4,3437,2.7,2887,2.3,-3219,-2.5,-2429,-1.9
Graue Panther,x,x,298,0.2,x,x,988,0.8,x,x,-690,-0.5
NPD,x,x,59,0,x,x,355,0.3,x,x,-296,-0.2
Gesundheitsforschung,x,x,185,0.2,x,x,398,0.3,x,x,-213,-0.2
LKR,x,x,24,0,x,x,386,0.3,x,x,-362,-0.3
DKP,x,x,254,0.2,x,x,342,0.3,x,x,-88,-0.1
SGP,x,x,82,0.1,302,0.2,272,0.2,-302,-0.2,-190,-0.1
BüSo,x,x,19,0,x,x,77,0.1,x,x,-58,0
B*,x,x,165,0.1,x,x,x,x,x,x,165,0.1
ÖDP,76,0.1,118,0.1,x,x,x,x,76,0.1,118,0.1
dieBasis,934,0.8,647,0.5,x,x,x,x,934,0.8,647,0.5
Bildet Berlin!,x,x,96,0.1,x,x,x,x,x,x,96,0.1
Die Grauen,x,x,298,0.2,x,x,x,x,x,x,298,0.2
REP,15,0,x,x,x,x,x,x,15,0,x,x
du.,x,x,340,0.3,x,x,x,x,x,x,340,0.3
BÜNDNIS21,x,x,42,0,x,x,x,x,x,x,42,0
DIE FRAUEN,111,0.1,x,x,x,x,x,x,111,0.1,x,x
FREIE WÄHLER,x,x,164,0.1,x,x,x,x,x,x,164,0.1
Klimaliste Berlin,x,x,515,0.4,x,x,x,x,x,x,515,0.4
MIETERPARTEI,x,x,294,0.2,207,0.2,x,x,-207,-0.2,294,0.2
Die Humanisten,x,x,253,0.2,x,x,x,x,x,x,253,0.2
Team Todenhöfer,x,x,831,0.7,x,x,x,x,x,x,831,0.7
Volt,x,x,1862,1.6,x,x,x,x,x,x,1862,1.6
EB,41,0,x,x,x,x,x,x,41,0,x,x
EB,63,0.1,x,x,x,x,x,x,63,0.1,x,x
Sonstige,x,x,x,x,1332,1.1,727,0.6,x,x,x,x
