feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,196840,x,196840,x,200519,x,200519,x,-3679,x,-3679,x
ohne Wahlschein,145585,74,145585,74,168718,84.1,168718,84.1,-23133,-10.2,-23133,-10.2
mit Wahlschein,51255,26,51255,26,31801,15.9,31801,15.9,19454,10.2,19454,10.2
Wählende,110783,56.3,110783,56.3,122207,60.9,122207,60.9,-11424,-4.7,-11424,-4.7
darunter Briefwählende,46113,41.6,46113,41.6,29829,24.4,29829,24.4,16284,17.2,16284,17.2
Abgegebene Stimmen,110676,x,110621,x,122094,x,122051,x,-11418,x,-11430,x
Ungültige Stimmen,1184,1.1,1049,0.9,2236,1.8,2162,1.8,-1052,-0.8,-1113,-0.8
Gültige Stimmen,109492,98.9,109572,99.1,119858,98.2,119889,98.2,-10366,0.8,-10317,0.8
SPD,16932,15.5,17456,15.9,21557,18,20329,17,-4625,-2.5,-2873,-1
CDU,38129,34.8,34847,31.8,26571,22.2,20761,17.3,11558,12.7,14086,14.5
GRÜNE,5824,5.3,6056,5.5,5536,4.6,5346,4.5,288,0.7,710,1.1
DIE LINKE,17243,15.7,15832,14.4,30479,25.4,28216,23.5,-13236,-9.7,-12384,-9.1
AfD,20865,19.1,20999,19.2,27884,23.3,28310,23.6,-7019,-4.2,-7311,-4.4
FDP,2781,2.5,3253,3,3245,2.7,3411,2.8,-464,-0.2,-158,0.1
Die PARTEI,1837,1.7,1303,1.2,x,x,1320,1.1,1837,1.7,-17,0.1
Tierschutzpartei,4573,4.2,3608,3.3,x,x,2586,2.2,4573,4.2,1022,1.1
PIRATEN,x,x,353,0.3,x,x,1573,1.3,x,x,-1220,-1
Graue Panther,x,x,763,0.7,x,x,2092,1.7,x,x,-1329,-1
NPD,263,0.2,390,0.4,1732,1.4,1922,1.6,-1469,-1.2,-1532,-1.2
Gesundheitsforschung,x,x,544,0.5,x,x,1022,0.9,x,x,-478,-0.4
LKR,x,x,32,0,x,x,754,0.6,x,x,-722,-0.6
DKP,x,x,316,0.3,x,x,359,0.3,x,x,-43,0
SGP,x,x,98,0.1,x,x,148,0.1,x,x,-50,0
BüSo,x,x,52,0,x,x,141,0.1,x,x,-89,-0.1
B*,x,x,29,0,x,x,x,x,x,x,29,0
ÖDP,x,x,75,0.1,x,x,x,x,x,x,75,0.1
dieBasis,1045,1,599,0.5,x,x,x,x,1045,1,599,0.5
Bildet Berlin!,x,x,221,0.2,x,x,x,x,x,x,221,0.2
Die Grauen,x,x,805,0.7,x,x,x,x,x,x,805,0.7
du.,x,x,148,0.1,x,x,x,x,x,x,148,0.1
BÜNDNIS21,x,x,85,0.1,x,x,x,x,x,x,85,0.1
FREIE WÄHLER,x,x,312,0.3,x,x,x,x,x,x,312,0.3
Klimaliste Berlin,x,x,110,0.1,x,x,x,x,x,x,110,0.1
MIETERPARTEI,x,x,364,0.3,x,x,x,x,x,x,364,0.3
Die Humanisten,x,x,215,0.2,x,x,x,x,x,x,215,0.2
Team Todenhöfer,x,x,229,0.2,x,x,x,x,x,x,229,0.2
Volt,x,x,478,0.4,x,x,x,x,x,x,478,0.4
Sonstige,x,x,x,x,2854,2.4,1599,1.3,x,x,x,x
