feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,167015,x,167015,x,170908,x,170908,x,-3893,x,-3893,x
ohne Wahlschein,116524,69.8,116524,69.8,134740,78.8,134740,78.8,-18216,-9.1,-18216,-9.1
mit Wahlschein,50491,30.2,50491,30.2,36168,21.2,36168,21.2,14323,9.1,14323,9.1
Wählende,107749,64.5,107749,64.5,117022,68.5,117022,68.5,-9273,-4,-9273,-4
darunter Briefwählende,44316,41.1,44316,41.1,33014,28.2,33014,28.2,11302,12.9,11302,12.9
Abgegebene Stimmen,107657,x,107647,x,116829,x,116879,x,-9172,x,-9232,x
Ungültige Stimmen,715,0.7,543,0.5,1621,1.4,1274,1.1,-906,-0.7,-731,-0.6
Gültige Stimmen,106942,99.3,107104,99.5,115208,98.6,115605,98.9,-8266,0.7,-8501,0.6
SPD,16672,15.6,15682,14.6,22084,19.2,21087,18.2,-5412,-3.6,-5405,-3.6
CDU,14730,13.8,14317,13.4,9331,8.1,9053,7.8,5399,5.7,5264,5.5
GRÜNE,37718,35.3,35905,33.5,37755,32.8,32778,28.4,-37,2.5,3127,5.2
DIE LINKE,22842,21.4,22558,21.1,24089,20.9,27016,23.4,-1247,0.5,-4458,-2.3
AfD,3878,3.6,3935,3.7,6447,5.6,7396,6.4,-2569,-2,-3461,-2.7
FDP,3323,3.1,3558,3.3,3847,3.3,4517,3.9,-524,-0.2,-959,-0.6
Die PARTEI,3672,3.4,2615,2.4,5144,4.5,4858,4.2,-1472,-1,-2243,-1.8
Tierschutzpartei,2617,2.4,2131,2,x,x,1753,1.5,2617,2.4,378,0.5
PIRATEN,95,0.1,442,0.4,4017,3.5,3629,3.1,-3922,-3.4,-3187,-2.7
Graue Panther,x,x,220,0.2,x,x,536,0.5,x,x,-316,-0.3
NPD,x,x,37,0,x,x,223,0.2,x,x,-186,-0.2
Gesundheitsforschung,x,x,139,0.1,x,x,306,0.3,x,x,-167,-0.1
LKR,x,x,17,0,x,x,240,0.2,x,x,-223,-0.2
DKP,x,x,243,0.2,141,0.1,402,0.3,-141,-0.1,-159,-0.1
SGP,x,x,87,0.1,75,0.1,199,0.2,-75,-0.1,-112,-0.1
BüSo,x,x,16,0,x,x,48,0,x,x,-32,0
B*,x,x,209,0.2,774,0.7,636,0.6,-774,-0.7,-427,-0.4
ÖDP,87,0.1,109,0.1,111,0.1,295,0.3,-24,0,-186,-0.2
dieBasis,849,0.8,601,0.6,x,x,x,x,849,0.8,601,0.6
Bildet Berlin!,x,x,82,0.1,x,x,x,x,x,x,82,0.1
Die Grauen,x,x,195,0.2,x,x,x,x,x,x,195,0.2
du.,143,0.1,442,0.4,x,x,x,x,143,0.1,442,0.4
BÜNDNIS21,x,x,58,0.1,x,x,x,x,x,x,58,0.1
FREIE WÄHLER,x,x,124,0.1,x,x,x,x,x,x,124,0.1
Klimaliste Berlin,x,x,745,0.7,x,x,x,x,x,x,745,0.7
MIETERPARTEI,197,0.2,338,0.3,x,x,x,x,197,0.2,338,0.3
Die Humanisten,x,x,195,0.2,x,x,x,x,x,x,195,0.2
Team Todenhöfer,x,x,618,0.6,x,x,x,x,x,x,618,0.6
Volt,x,x,1486,1.4,x,x,x,x,x,x,1486,1.4
EB,38,0,x,x,x,x,x,x,38,0,x,x
EB,53,0,x,x,x,x,x,x,53,0,x,x
EB,28,0,x,x,x,x,x,x,28,0,x,x
Sonstige,x,x,x,x,1393,1.2,633,0.5,x,x,x,x
