feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,280603,x,280603,x,285240,x,285240,x,-4637,x,-4637,x
ohne Wahlschein,184120,65.6,184120,65.6,225444,79,225444,79,-41324,-13.4,-41324,-13.4
mit Wahlschein,96483,34.4,96483,34.4,59796,21,59796,21,36687,13.4,36687,13.4
Wählende,189607,67.6,189607,67.6,199403,69.9,199403,69.9,-9796,-2.3,-9796,-2.3
darunter Briefwählende,86069,45.4,86069,45.4,55363,27.8,55363,27.8,30706,17.6,30706,17.6
Abgegebene Stimmen,189437,x,189491,x,199052,x,199295,x,-9615,x,-9804,x
Ungültige Stimmen,1398,0.7,1127,0.6,2819,1.4,2774,1.4,-1421,-0.7,-1647,-0.8
Gültige Stimmen,188039,99.3,188364,99.4,196233,98.6,196521,98.6,-8194,0.7,-8157,0.8
SPD,32636,17.4,30464,16.2,45370,23.1,39583,20.1,-12734,-5.8,-9119,-4
CDU,42737,22.7,40499,21.5,27093,13.8,24719,12.6,15644,8.9,15780,8.9
GRÜNE,45524,24.2,42410,22.5,36022,18.4,35145,17.9,9502,5.9,7265,4.6
DIE LINKE,30089,16,30465,16.2,42045,21.4,42196,21.5,-11956,-5.4,-11731,-5.3
AfD,17669,9.4,17977,9.5,26124,13.3,27152,13.8,-8455,-3.9,-9175,-4.3
FDP,6221,3.3,7351,3.9,7580,3.9,8667,4.4,-1359,-0.6,-1316,-0.5
Die PARTEI,4229,2.2,3321,1.8,5634,2.9,4610,2.3,-1405,-0.6,-1289,-0.6
Tierschutzpartei,5336,2.8,4431,2.4,x,x,3555,1.8,5336,2.8,876,0.5
PIRATEN,106,0.1,653,0.3,4526,2.3,3938,2,-4420,-2.3,-3285,-1.7
Graue Panther,x,x,729,0.4,x,x,1969,1,x,x,-1240,-0.6
NPD,x,x,184,0.1,371,0.2,1126,0.6,-371,-0.2,-942,-0.5
Gesundheitsforschung,x,x,567,0.3,x,x,1214,0.6,x,x,-647,-0.3
LKR,x,x,47,0,x,x,771,0.4,x,x,-724,-0.4
DKP,x,x,437,0.2,x,x,620,0.3,x,x,-183,-0.1
SGP,x,x,106,0.1,x,x,287,0.1,x,x,-181,-0.1
BüSo,x,x,50,0,x,x,170,0.1,x,x,-120,-0.1
B*,x,x,170,0.1,x,x,x,x,x,x,170,0.1
ÖDP,44,0,262,0.1,x,x,x,x,44,0,262,0.1
dieBasis,1758,0.9,1626,0.9,x,x,x,x,1758,0.9,1626,0.9
Bildet Berlin!,x,x,253,0.1,x,x,x,x,x,x,253,0.1
DL,22,0,x,x,x,x,x,x,22,0,x,x
Die Grauen,x,x,943,0.5,x,x,x,x,x,x,943,0.5
du.,103,0.1,408,0.2,x,x,x,x,103,0.1,408,0.2
BÜNDNIS21,x,x,90,0,x,x,x,x,x,x,90,0
FREIE WÄHLER,1097,0.6,531,0.3,x,x,x,x,1097,0.6,531,0.3
Klimaliste Berlin,x,x,620,0.3,x,x,x,x,x,x,620,0.3
MIETERPARTEI,468,0.2,755,0.4,734,0.4,x,x,-266,-0.1,755,0.4
Die Humanisten,x,x,357,0.2,x,x,x,x,x,x,357,0.2
Team Todenhöfer,x,x,406,0.2,x,x,x,x,x,x,406,0.2
Volt,x,x,2252,1.2,x,x,x,x,x,x,2252,1.2
Sonstige,x,x,x,x,734,0.4,799,0.4,x,x,x,x
