feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,214149,x,214149,x,217586,x,217586,x,-3437,x,-3437,x
ohne Wahlschein,140029,65.4,140029,65.4,163978,75.4,163978,75.4,-23949,-10,-23949,-10
mit Wahlschein,74120,34.6,74120,34.6,53608,24.6,53608,24.6,20512,10,20512,10
Wählende,142157,66.4,142157,66.4,152279,70,152279,70,-10122,-3.6,-10122,-3.6
darunter Briefwählende,66942,47.1,66942,47.1,49608,32.6,49608,32.6,17334,14.5,17334,14.5
Abgegebene Stimmen,141970,x,142004,x,151956,x,152096,x,-9986,x,-10092,x
Ungültige Stimmen,1011,0.7,856,0.6,2218,1.5,1888,1.2,-1207,-0.7,-1032,-0.6
Gültige Stimmen,140959,99.3,141148,99.4,149738,98.5,150208,98.8,-8779,0.7,-9060,0.6
SPD,31372,22.3,29232,20.7,41524,27.7,34318,22.8,-10152,-5.5,-5086,-2.1
CDU,45960,32.6,43134,30.6,35208,23.5,30545,20.3,10752,9.1,12589,10.2
GRÜNE,32309,22.9,30419,21.6,27111,18.1,27822,18.5,5198,4.8,2597,3
DIE LINKE,9214,6.5,10834,7.7,12263,8.2,13922,9.3,-3049,-1.7,-3088,-1.6
AfD,7150,5.1,7439,5.3,15129,10.1,15431,10.3,-7979,-5,-7992,-5
FDP,8328,5.9,10324,7.3,14994,10,18454,12.3,-6666,-4.1,-8130,-5
Die PARTEI,2129,1.5,1508,1.1,1357,0.9,2010,1.3,772,0.6,-502,-0.3
Tierschutzpartei,3002,2.1,2397,1.7,x,x,2363,1.6,3002,2.1,34,0.1
PIRATEN,85,0.1,374,0.3,1758,1.2,2003,1.3,-1673,-1.1,-1629,-1.1
Graue Panther,x,x,421,0.3,x,x,1072,0.7,x,x,-651,-0.4
NPD,x,x,44,0,x,x,223,0.1,x,x,-179,-0.1
Gesundheitsforschung,x,x,204,0.1,x,x,429,0.3,x,x,-225,-0.1
LKR,56,0,32,0,x,x,658,0.4,56,0,-626,-0.4
DKP,x,x,96,0.1,x,x,98,0.1,x,x,-2,0
SGP,x,x,47,0,x,x,99,0.1,x,x,-52,0
BüSo,x,x,24,0,x,x,93,0.1,x,x,-69,0
B*,x,x,69,0,x,x,x,x,x,x,69,0
ÖDP,38,0,125,0.1,x,x,x,x,38,0,125,0.1
dieBasis,920,0.7,718,0.5,x,x,x,x,920,0.7,718,0.5
Bildet Berlin!,x,x,96,0.1,x,x,x,x,x,x,96,0.1
Deutsche Konservative,x,x,16,0,x,x,x,x,x,x,16,0
Die Grauen,x,x,269,0.2,x,x,x,x,x,x,269,0.2
Neue Demokraten,x,x,69,0,x,x,x,x,x,x,69,0
du.,x,x,181,0.1,x,x,x,x,x,x,181,0.1
BÜNDNIS21,x,x,52,0,x,x,x,x,x,x,52,0
FREIE WÄHLER,324,0.2,244,0.2,x,x,x,x,324,0.2,244,0.2
Klimaliste Berlin,x,x,250,0.2,x,x,x,x,x,x,250,0.2
MIETERPARTEI,x,x,235,0.2,x,x,x,x,x,x,235,0.2
Die Humanisten,x,x,215,0.2,x,x,x,x,x,x,215,0.2
Team Todenhöfer,x,x,512,0.4,x,x,x,x,x,x,512,0.4
Volt,x,x,1568,1.1,x,x,x,x,x,x,1568,1.1
EB,39,0,x,x,x,x,x,x,39,0,x,x
EB,33,0,x,x,x,x,x,x,33,0,x,x
Sonstige,x,x,x,x,394,0.3,668,0.4,x,x,x,x
