feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,214308,x,214308,x,218473,x,218473,x,-4165,x,-4165,x
ohne Wahlschein,132153,61.7,132153,61.7,156731,71.7,156731,71.7,-24578,-10.1,-24578,-10.1
mit Wahlschein,82155,38.3,82155,38.3,61742,28.3,61742,28.3,20413,10.1,20413,10.1
Wählende,152466,71.1,152466,71.1,162844,74.5,162844,74.5,-10378,-3.4,-10378,-3.4
darunter Briefwählende,75309,49.4,75309,49.4,57250,35.2,57250,35.2,18059,14.2,18059,14.2
Abgegebene Stimmen,152293,x,152332,x,162526,x,162745,x,-10233,x,-10413,x
Ungültige Stimmen,1166,0.8,854,0.6,2230,1.4,1942,1.2,-1064,-0.6,-1088,-0.6
Gültige Stimmen,151127,99.2,151478,99.4,160296,98.6,160803,98.8,-9169,0.6,-9325,0.6
SPD,31765,21,30587,20.2,40122,25,34737,21.6,-8357,-4,-4150,-1.4
CDU,57188,37.8,53572,35.4,46350,28.9,41065,25.5,10838,8.9,12507,9.8
GRÜNE,30648,20.3,27876,18.4,28032,17.5,26976,16.8,2616,2.8,900,1.6
DIE LINKE,6760,4.5,8324,5.5,9391,5.9,11152,6.9,-2631,-1.4,-2828,-1.4
AfD,8416,5.6,8665,5.7,17516,10.9,17677,11,-9100,-5.4,-9012,-5.3
FDP,9357,6.2,12043,8,15200,9.5,19051,11.8,-5843,-3.3,-7008,-3.9
Die PARTEI,1521,1,1370,0.9,388,0.2,1766,1.1,1133,0.8,-396,-0.2
Tierschutzpartei,3523,2.3,2796,1.8,x,x,2733,1.7,3523,2.3,63,0.1
PIRATEN,391,0.3,442,0.3,3144,2,2242,1.4,-2753,-1.7,-1800,-1.1
Graue Panther,x,x,475,0.3,x,x,1265,0.8,x,x,-790,-0.5
NPD,x,x,64,0,x,x,307,0.2,x,x,-243,-0.1
Gesundheitsforschung,x,x,243,0.2,x,x,548,0.3,x,x,-305,-0.2
LKR,x,x,38,0,x,x,617,0.4,x,x,-579,-0.4
DKP,x,x,79,0.1,x,x,109,0.1,x,x,-30,0
SGP,x,x,39,0,x,x,92,0.1,x,x,-53,0
BüSo,x,x,22,0,x,x,138,0.1,x,x,-116,-0.1
B*,x,x,68,0,x,x,x,x,x,x,68,0
ÖDP,x,x,176,0.1,x,x,x,x,x,x,176,0.1
dieBasis,1057,0.7,793,0.5,x,x,x,x,1057,0.7,793,0.5
Bildet Berlin!,x,x,114,0.1,x,x,x,x,x,x,114,0.1
Die Grauen,x,x,456,0.3,x,x,x,x,x,x,456,0.3
du.,x,x,167,0.1,x,x,x,x,x,x,167,0.1
BÜNDNIS21,x,x,67,0,x,x,x,x,x,x,67,0
FREIE WÄHLER,501,0.3,321,0.2,x,x,x,x,501,0.3,321,0.2
Klimaliste Berlin,x,x,256,0.2,x,x,x,x,x,x,256,0.2
MIETERPARTEI,x,x,261,0.2,x,x,x,x,x,x,261,0.2
Die Humanisten,x,x,234,0.2,x,x,x,x,x,x,234,0.2
Team Todenhöfer,x,x,429,0.3,x,x,x,x,x,x,429,0.3
Volt,x,x,1501,1,x,x,x,x,x,x,1501,1
Sonstige,x,x,x,x,153,0.1,328,0.2,x,x,x,x
