feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,28225,x,28225,x,29942,x,29942,x,-1717,x,-1717,x
ohne Wahlschein,18758,66.5,18758,66.5,23298,77.8,23298,77.8,-4540,-11.4,-4540,-11.4
mit Wahlschein,9467,33.5,9467,33.5,6644,22.2,6644,22.2,2823,11.4,2823,11.4
Wählende,19038,67.5,19038,67.5,22019,73.5,20788,69.4,-2981,-6.1,-1750,-2
darunter Briefwählende,8508,44.7,8508,44.7,6761,30.7,5675,27.3,1747,14,2833,17.4
Abgegebene Stimmen,19019,x,19025,x,22008,x,20788,x,-2989,x,-1763,x
Ungültige Stimmen,106,0.6,71,0.4,249,1.1,212,1,-143,-0.6,-141,-0.6
Gültige Stimmen,18913,99.4,18954,99.6,21759,98.9,20576,99,-2846,0.6,-1622,0.6
SPD,2731,14.4,2564,13.5,3757,17.3,3471,16.9,-1026,-2.8,-907,-3.3
CDU,2086,11,2113,11.1,1661,7.6,1513,7.4,425,3.4,600,3.8
GRÜNE,6833,36.1,6433,33.9,6985,32.1,5733,27.9,-152,4,700,6.1
DIE LINKE,4143,21.9,4147,21.9,4508,20.7,5113,24.8,-365,1.2,-966,-3
AfD,782,4.1,787,4.2,1302,6,1243,6,-520,-1.8,-456,-1.9
FDP,638,3.4,634,3.3,672,3.1,776,3.8,-34,0.3,-142,-0.4
Die PARTEI,740,3.9,560,3,1000,4.6,1019,5,-260,-0.7,-459,-2
Tierschutzpartei,538,2.8,504,2.7,x,x,344,1.7,538,2.8,160,1
PIRATEN,x,x,109,0.6,881,4,847,4.1,-881,-4,-738,-3.5
Graue Panther,x,x,41,0.2,x,x,67,0.3,x,x,-26,-0.1
NPD,x,x,10,0.1,x,x,20,0.1,x,x,-10,0
Gesundheitsforschung,x,x,30,0.2,x,x,29,0.1,x,x,1,0
LKR,x,x,3,0,x,x,26,0.1,x,x,-23,-0.1
DKP,x,x,35,0.2,x,x,41,0.2,x,x,-6,0
SGP,x,x,11,0.1,64,0.3,23,0.1,-64,-0.3,-12,-0.1
BüSo,x,x,2,0,x,x,5,0,x,x,-3,0
B*,x,x,51,0.3,643,3,161,0.8,-643,-3,-110,-0.5
ÖDP,41,0.2,25,0.1,107,0.5,49,0.2,-66,-0.3,-24,-0.1
dieBasis,146,0.8,101,0.5,x,x,x,x,146,0.8,101,0.5
Bildet Berlin!,x,x,18,0.1,x,x,x,x,x,x,18,0.1
Die Grauen,x,x,46,0.2,x,x,x,x,x,x,46,0.2
du.,x,x,70,0.4,x,x,x,x,x,x,70,0.4
BÜNDNIS21,x,x,9,0,x,x,x,x,x,x,9,0
FREIE WÄHLER,x,x,19,0.1,x,x,x,x,x,x,19,0.1
Klimaliste Berlin,x,x,146,0.8,x,x,x,x,x,x,146,0.8
MIETERPARTEI,197,1,84,0.4,x,x,x,x,197,1,84,0.4
Die Humanisten,x,x,51,0.3,x,x,x,x,x,x,51,0.3
Team Todenhöfer,x,x,40,0.2,x,x,x,x,x,x,40,0.2
Volt,x,x,311,1.6,x,x,x,x,x,x,311,1.6
EB,38,0.2,x,x,x,x,x,x,38,0.2,x,x
Sonstige,x,x,x,x,179,0.8,96,0.5,x,x,x,x
