feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,33033,x,33033,x,32854,x,32854,x,179,x,179,x
ohne Wahlschein,21417,64.8,21417,64.8,25391,77.3,25391,77.3,-3974,-12.4,-3974,-12.4
mit Wahlschein,11616,35.2,11616,35.2,7463,22.7,7463,22.7,4153,12.4,4153,12.4
Wählende,22927,69.4,22927,69.4,23351,71.1,23351,71.1,-424,-1.7,-424,-1.7
darunter Briefwählende,10516,45.9,10516,45.9,7023,30.1,7023,30.1,3493,15.8,3493,15.8
Abgegebene Stimmen,22915,x,22914,x,23321,x,23330,x,-406,x,-416,x
Ungültige Stimmen,189,0.8,149,0.7,301,1.3,325,1.4,-112,-0.5,-176,-0.7
Gültige Stimmen,22726,99.2,22765,99.3,23020,98.7,23005,98.6,-294,0.5,-240,0.7
SPD,3434,15.1,3884,17.1,5708,24.8,4958,21.6,-2274,-9.7,-1074,-4.5
CDU,4479,19.7,4615,20.3,2699,11.7,2850,12.4,1780,8,1765,7.9
GRÜNE,5628,24.8,5239,23,4065,17.7,4053,17.6,1563,7.1,1186,5.4
DIE LINKE,4880,21.5,3787,16.6,5190,22.5,5326,23.2,-310,-1.1,-1539,-6.5
AfD,2142,9.4,2095,9.2,3072,13.3,2997,13,-930,-3.9,-902,-3.8
FDP,653,2.9,775,3.4,731,3.2,801,3.5,-78,-0.3,-26,-0.1
Die PARTEI,465,2,414,1.8,449,2,454,2,16,0.1,-40,-0.2
Tierschutzpartei,621,2.7,527,2.3,x,x,343,1.5,621,2.7,184,0.8
PIRATEN,x,x,73,0.3,473,2.1,445,1.9,-473,-2.1,-372,-1.6
Graue Panther,x,x,87,0.4,x,x,216,0.9,x,x,-129,-0.6
NPD,x,x,28,0.1,x,x,93,0.4,x,x,-65,-0.3
Gesundheitsforschung,x,x,62,0.3,x,x,148,0.6,x,x,-86,-0.4
LKR,x,x,4,0,x,x,79,0.3,x,x,-75,-0.3
DKP,x,x,69,0.3,x,x,107,0.5,x,x,-38,-0.2
SGP,x,x,17,0.1,x,x,37,0.2,x,x,-20,-0.1
BüSo,x,x,8,0,x,x,24,0.1,x,x,-16,-0.1
B*,x,x,16,0.1,x,x,x,x,x,x,16,0.1
ÖDP,x,x,38,0.2,x,x,x,x,x,x,38,0.2
dieBasis,x,x,212,0.9,x,x,x,x,x,x,212,0.9
Bildet Berlin!,x,x,44,0.2,x,x,x,x,x,x,44,0.2
Die Grauen,x,x,95,0.4,x,x,x,x,x,x,95,0.4
du.,x,x,39,0.2,x,x,x,x,x,x,39,0.2
BÜNDNIS21,x,x,13,0.1,x,x,x,x,x,x,13,0.1
FREIE WÄHLER,148,0.7,73,0.3,x,x,x,x,148,0.7,73,0.3
Klimaliste Berlin,x,x,56,0.2,x,x,x,x,x,x,56,0.2
MIETERPARTEI,276,1.2,141,0.6,356,1.5,x,x,-80,-0.3,141,0.6
Die Humanisten,x,x,46,0.2,x,x,x,x,x,x,46,0.2
Team Todenhöfer,x,x,44,0.2,x,x,x,x,x,x,44,0.2
Volt,x,x,264,1.2,x,x,x,x,x,x,264,1.2
Sonstige,x,x,x,x,277,1.2,74,0.3,x,x,x,x
