feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,28127,x,28127,x,29619,x,29619,x,-1492,x,-1492,x
ohne Wahlschein,20073,71.4,20073,71.4,23778,80.3,23778,80.3,-3705,-8.9,-3705,-8.9
mit Wahlschein,8054,28.6,8054,28.6,5841,19.7,5841,19.7,2213,8.9,2213,8.9
Wählende,16037,57,16037,57,18184,61.4,18184,61.4,-2147,-4.4,-2147,-4.4
darunter Briefwählende,7249,45.2,7249,45.2,5452,30,5452,30,1797,15.2,1797,15.2
Abgegebene Stimmen,16016,x,16020,x,18166,x,18172,x,-2150,x,-2152,x
Ungültige Stimmen,153,1,130,0.8,355,2,322,1.8,-202,-1,-192,-1
Gültige Stimmen,15863,99,15890,99.2,17811,98,17850,98.2,-1948,1,-1960,1
SPD,3694,23.3,3307,20.8,5160,29,4302,24.1,-1466,-5.7,-995,-3.3
CDU,4489,28.3,4357,27.4,3443,19.3,3222,18.1,1046,9,1135,9.4
GRÜNE,3366,21.2,3206,20.2,2772,15.6,2870,16.1,594,5.7,336,4.1
DIE LINKE,1281,8.1,1406,8.8,1576,8.8,1777,10,-295,-0.8,-371,-1.1
AfD,1238,7.8,1269,8,2609,14.6,2573,14.4,-1371,-6.8,-1304,-6.4
FDP,770,4.9,863,5.4,1338,7.5,1439,8.1,-568,-2.7,-576,-2.6
Die PARTEI,274,1.7,191,1.2,397,2.2,322,1.8,-123,-0.5,-131,-0.6
Tierschutzpartei,500,3.2,404,2.5,x,x,365,2,500,3.2,39,0.5
PIRATEN,x,x,58,0.4,400,2.2,342,1.9,-400,-2.2,-284,-1.6
Graue Panther,x,x,76,0.5,x,x,235,1.3,x,x,-159,-0.8
NPD,x,x,16,0.1,x,x,56,0.3,x,x,-40,-0.2
Gesundheitsforschung,x,x,32,0.2,x,x,89,0.5,x,x,-57,-0.3
LKR,x,x,4,0,x,x,78,0.4,x,x,-74,-0.4
DKP,x,x,12,0.1,x,x,17,0.1,x,x,-5,0
SGP,x,x,4,0,x,x,22,0.1,x,x,-18,-0.1
BüSo,x,x,1,0,x,x,12,0.1,x,x,-11,-0.1
B*,x,x,8,0.1,x,x,x,x,x,x,8,0.1
ÖDP,x,x,13,0.1,x,x,x,x,x,x,13,0.1
dieBasis,143,0.9,106,0.7,x,x,x,x,143,0.9,106,0.7
Bildet Berlin!,x,x,14,0.1,x,x,x,x,x,x,14,0.1
Deutsche Konservative,x,x,7,0,x,x,x,x,x,x,7,0
Die Grauen,x,x,49,0.3,x,x,x,x,x,x,49,0.3
Neue Demokraten,x,x,13,0.1,x,x,x,x,x,x,13,0.1
du.,x,x,28,0.2,x,x,x,x,x,x,28,0.2
BÜNDNIS21,x,x,6,0,x,x,x,x,x,x,6,0
FREIE WÄHLER,69,0.4,40,0.3,x,x,x,x,69,0.4,40,0.3
Klimaliste Berlin,x,x,31,0.2,x,x,x,x,x,x,31,0.2
MIETERPARTEI,x,x,50,0.3,x,x,x,x,x,x,50,0.3
Die Humanisten,x,x,38,0.2,x,x,x,x,x,x,38,0.2
Team Todenhöfer,x,x,123,0.8,x,x,x,x,x,x,123,0.8
Volt,x,x,158,1,x,x,x,x,x,x,158,1
EB,39,0.2,x,x,x,x,x,x,39,0.2,x,x
Sonstige,x,x,x,x,116,0.7,129,0.7,x,x,x,x
