feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,29937,x,29937,x,30033,x,30033,x,-96,x,-96,x
ohne Wahlschein,20807,69.5,20807,69.5,23202,77.3,23202,77.3,-2395,-7.8,-2395,-7.8
mit Wahlschein,9130,30.5,9130,30.5,6831,22.7,6831,22.7,2299,7.8,2299,7.8
Wählende,18952,63.3,18952,63.3,20181,67.2,20181,67.2,-1229,-3.9,-1229,-3.9
darunter Briefwählende,8062,42.5,8062,42.5,6221,30.8,6221,30.8,1841,11.7,1841,11.7
Abgegebene Stimmen,18921,x,18936,x,20159,x,20173,x,-1238,x,-1237,x
Ungültige Stimmen,127,0.7,116,0.6,239,1.2,261,1.3,-112,-0.5,-145,-0.7
Gültige Stimmen,18794,99.3,18820,99.4,19920,98.8,19912,98.7,-1126,0.5,-1092,0.7
SPD,3505,18.6,3465,18.4,5234,26.3,4382,22,-1729,-7.6,-917,-3.6
CDU,4196,22.3,4185,22.2,3147,15.8,3094,15.5,1049,6.5,1091,6.7
GRÜNE,6207,33,5281,28.1,5224,26.2,4841,24.3,983,6.8,440,3.7
DIE LINKE,2119,11.3,2336,12.4,2088,10.5,2623,13.2,31,0.8,-287,-0.8
AfD,879,4.7,875,4.6,1754,8.8,1778,8.9,-875,-4.1,-903,-4.3
FDP,1000,5.3,1151,6.1,1417,7.1,1687,8.5,-417,-1.8,-536,-2.4
Die PARTEI,348,1.9,262,1.4,391,2,406,2,-43,-0.1,-144,-0.6
Tierschutzpartei,391,2.1,318,1.7,x,x,269,1.4,391,2.1,49,0.3
PIRATEN,x,x,72,0.4,374,1.9,375,1.9,-374,-1.9,-303,-1.5
Graue Panther,x,x,26,0.1,x,x,121,0.6,x,x,-95,-0.5
NPD,x,x,7,0,x,x,45,0.2,x,x,-38,-0.2
Gesundheitsforschung,x,x,14,0.1,x,x,46,0.2,x,x,-32,-0.2
LKR,x,x,4,0,x,x,64,0.3,x,x,-60,-0.3
DKP,x,x,23,0.1,x,x,44,0.2,x,x,-21,-0.1
SGP,x,x,9,0,x,x,29,0.1,x,x,-20,-0.1
BüSo,x,x,4,0,x,x,11,0.1,x,x,-7,0
B*,x,x,20,0.1,x,x,x,x,x,x,20,0.1
ÖDP,x,x,21,0.1,x,x,x,x,x,x,21,0.1
dieBasis,108,0.6,78,0.4,x,x,x,x,108,0.6,78,0.4
Bildet Berlin!,x,x,16,0.1,x,x,x,x,x,x,16,0.1
Die Grauen,x,x,31,0.2,x,x,x,x,x,x,31,0.2
du.,x,x,37,0.2,x,x,x,x,x,x,37,0.2
BÜNDNIS21,x,x,8,0,x,x,x,x,x,x,8,0
FREIE WÄHLER,x,x,41,0.2,x,x,x,x,x,x,41,0.2
Klimaliste Berlin,x,x,59,0.3,x,x,x,x,x,x,59,0.3
MIETERPARTEI,x,x,51,0.3,207,1,x,x,-207,-1,51,0.3
Die Humanisten,x,x,30,0.2,x,x,x,x,x,x,30,0.2
Team Todenhöfer,x,x,94,0.5,x,x,x,x,x,x,94,0.5
Volt,x,x,302,1.6,x,x,x,x,x,x,302,1.6
EB,41,0.2,x,x,x,x,x,x,41,0.2,x,x
Sonstige,x,x,x,x,84,0.4,97,0.5,x,x,x,x
