feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,31551,x,31551,x,32400,x,32400,x,-849,x,-849,x
ohne Wahlschein,19280,61.1,19280,61.1,23438,72.3,23438,72.3,-4158,-11.2,-4158,-11.2
mit Wahlschein,12271,38.9,12271,38.9,8962,27.7,8962,27.7,3309,11.2,3309,11.2
Wählende,22369,70.9,22369,70.9,23888,73.7,23888,73.7,-1519,-2.8,-1519,-2.8
darunter Briefwählende,11257,50.3,11257,50.3,8291,34.7,8291,34.7,2966,15.6,2966,15.6
Abgegebene Stimmen,22337,x,22351,x,23839,x,23865,x,-1502,x,-1514,x
Ungültige Stimmen,134,0.6,111,0.5,322,1.4,282,1.2,-188,-0.8,-171,-0.7
Gültige Stimmen,22203,99.4,22240,99.5,23517,98.6,23583,98.8,-1314,0.8,-1343,0.7
SPD,4420,19.9,4566,20.5,6112,26,5518,23.4,-1692,-6.1,-952,-2.9
CDU,6696,30.2,6383,28.7,5430,23.1,4985,21.1,1266,7.1,1398,7.6
GRÜNE,6353,28.6,5214,23.4,5553,23.6,4850,20.6,800,5,364,2.9
DIE LINKE,1279,5.8,1680,7.6,1663,7.1,2089,8.9,-384,-1.3,-409,-1.3
AfD,1173,5.3,1183,5.3,2185,9.3,2236,9.5,-1012,-4,-1053,-4.2
FDP,1077,4.9,1449,6.5,1715,7.3,2221,9.4,-638,-2.4,-772,-2.9
Die PARTEI,336,1.5,282,1.3,388,1.6,335,1.4,-52,-0.1,-53,-0.2
Tierschutzpartei,558,2.5,450,2,x,x,409,1.7,558,2.5,41,0.3
PIRATEN,85,0.4,66,0.3,471,2,401,1.7,-386,-1.6,-335,-1.4
Graue Panther,x,x,76,0.3,x,x,206,0.9,x,x,-130,-0.5
NPD,x,x,11,0,x,x,38,0.2,x,x,-27,-0.1
Gesundheitsforschung,x,x,32,0.1,x,x,102,0.4,x,x,-70,-0.3
LKR,x,x,9,0,x,x,83,0.4,x,x,-74,-0.3
DKP,x,x,16,0.1,x,x,31,0.1,x,x,-15,-0.1
SGP,x,x,4,0,x,x,13,0.1,x,x,-9,0
BüSo,x,x,5,0,x,x,16,0.1,x,x,-11,0
B*,x,x,7,0,x,x,x,x,x,x,7,0
ÖDP,x,x,21,0.1,x,x,x,x,x,x,21,0.1
dieBasis,148,0.7,121,0.5,x,x,x,x,148,0.7,121,0.5
Bildet Berlin!,x,x,17,0.1,x,x,x,x,x,x,17,0.1
Die Grauen,x,x,78,0.4,x,x,x,x,x,x,78,0.4
du.,x,x,41,0.2,x,x,x,x,x,x,41,0.2
BÜNDNIS21,x,x,12,0.1,x,x,x,x,x,x,12,0.1
FREIE WÄHLER,78,0.4,33,0.1,x,x,x,x,78,0.4,33,0.1
Klimaliste Berlin,x,x,63,0.3,x,x,x,x,x,x,63,0.3
MIETERPARTEI,x,x,48,0.2,x,x,x,x,x,x,48,0.2
Die Humanisten,x,x,42,0.2,x,x,x,x,x,x,42,0.2
Team Todenhöfer,x,x,52,0.2,x,x,x,x,x,x,52,0.2
Volt,x,x,279,1.3,x,x,x,x,x,x,279,1.3
Sonstige,x,x,x,x,x,x,50,0.2,x,x,x,x
