feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,32169,x,32169,x,33307,x,33307,x,-1138,x,-1138,x
ohne Wahlschein,21029,65.4,21029,65.4,25155,75.5,25155,75.5,-4126,-10.2,-4126,-10.2
mit Wahlschein,11140,34.6,11140,34.6,8152,24.5,8152,24.5,2988,10.2,2988,10.2
Wählende,21470,66.7,21470,66.7,23455,70.4,23455,70.4,-1985,-3.7,-1985,-3.7
darunter Briefwählende,10166,47.3,10166,47.3,7634,32.5,7634,32.5,2532,14.8,2532,14.8
Abgegebene Stimmen,21447,x,21452,x,23384,x,23432,x,-1937,x,-1980,x
Ungültige Stimmen,200,0.9,172,0.8,431,1.8,382,1.6,-231,-0.9,-210,-0.8
Gültige Stimmen,21247,99.1,21280,99.2,22953,98.2,23050,98.4,-1706,0.9,-1770,0.8
SPD,4154,19.6,4081,19.2,5397,23.5,5129,22.3,-1243,-4,-1048,-3.1
CDU,10546,49.6,10071,47.3,7755,33.8,6848,29.7,2791,15.8,3223,17.6
GRÜNE,2050,9.6,1925,9,2410,10.5,2344,10.2,-360,-0.9,-419,-1.1
DIE LINKE,684,3.2,762,3.6,1090,4.7,1175,5.1,-406,-1.5,-413,-1.5
AfD,1890,8.9,1895,8.9,3567,15.5,3584,15.5,-1677,-6.6,-1689,-6.6
FDP,926,4.4,1147,5.4,2033,8.9,2330,10.1,-1107,-4.5,-1183,-4.7
Die PARTEI,226,1.1,161,0.8,x,x,175,0.8,226,1.1,-14,0
Tierschutzpartei,661,3.1,469,2.2,x,x,423,1.8,661,3.1,46,0.4
PIRATEN,x,x,80,0.4,328,1.4,219,1,-328,-1.4,-139,-0.6
Graue Panther,x,x,99,0.5,x,x,293,1.3,x,x,-194,-0.8
NPD,x,x,12,0.1,x,x,117,0.5,x,x,-105,-0.5
Gesundheitsforschung,x,x,42,0.2,x,x,87,0.4,x,x,-45,-0.2
LKR,x,x,4,0,x,x,91,0.4,x,x,-87,-0.4
DKP,x,x,15,0.1,x,x,10,0,x,x,5,0
SGP,x,x,2,0,x,x,18,0.1,x,x,-16,-0.1
BüSo,x,x,1,0,x,x,23,0.1,x,x,-22,-0.1
MENSCHLICHE WELT,x,x,24,0.1,212,0.9,76,0.3,-212,-0.9,-52,-0.2
B*,x,x,2,0,x,x,x,x,x,x,2,0
ÖDP,x,x,14,0.1,x,x,x,x,x,x,14,0.1
dieBasis,110,0.5,66,0.3,x,x,x,x,110,0.5,66,0.3
Bildet Berlin!,x,x,31,0.1,x,x,x,x,x,x,31,0.1
Die Grauen,x,x,73,0.3,x,x,x,x,x,x,73,0.3
du.,x,x,14,0.1,x,x,x,x,x,x,14,0.1
BÜNDNIS21,x,x,11,0.1,x,x,x,x,x,x,11,0.1
FREIE WÄHLER,x,x,39,0.2,x,x,x,x,x,x,39,0.2
Klimaliste Berlin,x,x,12,0.1,x,x,x,x,x,x,12,0.1
MIETERPARTEI,x,x,34,0.2,x,x,x,x,x,x,34,0.2
Die Humanisten,x,x,19,0.1,x,x,x,x,x,x,19,0.1
Team Todenhöfer,x,x,73,0.3,x,x,x,x,x,x,73,0.3
Volt,x,x,102,0.5,x,x,x,x,x,x,102,0.5
Sonstige,x,x,x,x,161,0.7,108,0.5,x,x,x,x
