feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,31347,x,31347,x,33594,x,33594,x,-2247,x,-2247,x
ohne Wahlschein,21564,68.8,21564,68.8,26168,77.9,26168,77.9,-4604,-9.1,-4604,-9.1
mit Wahlschein,9783,31.2,9783,31.2,7426,22.1,7426,22.1,2357,9.1,2357,9.1
Wählende,19104,60.9,19104,60.9,22156,66,22258,66.3,-3052,-5,-3154,-5.3
darunter Briefwählende,8757,45.8,8757,45.8,7207,32.5,7193,32.3,1550,13.3,1564,13.5
Abgegebene Stimmen,19093,x,19084,x,22070,x,22200,x,-2977,x,-3116,x
Ungültige Stimmen,123,0.6,95,0.5,321,1.5,310,1.4,-198,-0.8,-215,-0.9
Gültige Stimmen,18970,99.4,18989,99.5,21749,98.5,21890,98.6,-2779,0.8,-2901,0.9
SPD,2823,14.9,2733,14.4,4977,22.9,4184,19.1,-2154,-8,-1451,-4.7
CDU,2021,10.7,1957,10.3,2345,10.8,2204,10.1,-324,-0.1,-247,0.2
GRÜNE,6661,35.1,6721,35.4,5910,27.2,5726,26.2,751,7.9,995,9.2
DIE LINKE,4981,26.3,4713,24.8,4185,19.2,4622,21.1,796,7,91,3.7
AfD,650,3.4,645,3.4,1795,8.3,1796,8.2,-1145,-4.8,-1151,-4.8
FDP,295,1.6,343,1.8,705,3.2,822,3.8,-410,-1.7,-479,-1.9
Die PARTEI,600,3.2,468,2.5,951,4.4,886,4,-351,-1.2,-418,-1.6
Tierschutzpartei,415,2.2,319,1.7,x,x,360,1.6,415,2.2,-41,0
PIRATEN,x,x,73,0.4,659,3,618,2.8,-659,-3,-545,-2.4
Graue Panther,x,x,28,0.1,x,x,147,0.7,x,x,-119,-0.5
NPD,x,x,4,0,106,0.5,107,0.5,-106,-0.5,-103,-0.5
Gesundheitsforschung,x,x,30,0.2,x,x,74,0.3,x,x,-44,-0.2
LKR,x,x,6,0,x,x,69,0.3,x,x,-63,-0.3
DKP,x,x,50,0.3,x,x,88,0.4,x,x,-38,-0.1
SGP,x,x,14,0.1,x,x,68,0.3,x,x,-54,-0.2
BüSo,x,x,2,0,x,x,55,0.3,x,x,-53,-0.2
B*,x,x,41,0.2,x,x,x,x,x,x,41,0.2
ÖDP,x,x,12,0.1,x,x,x,x,x,x,12,0.1
dieBasis,156,0.8,113,0.6,x,x,x,x,156,0.8,113,0.6
Bildet Berlin!,x,x,11,0.1,x,x,x,x,x,x,11,0.1
Die Grauen,x,x,30,0.2,x,x,x,x,x,x,30,0.2
du.,368,1.9,115,0.6,x,x,x,x,368,1.9,115,0.6
BÜNDNIS21,x,x,8,0,x,x,x,x,x,x,8,0
FREIE WÄHLER,x,x,23,0.1,x,x,x,x,x,x,23,0.1
Klimaliste Berlin,x,x,143,0.8,x,x,x,x,x,x,143,0.8
MIETERPARTEI,x,x,53,0.3,x,x,x,x,x,x,53,0.3
Die Humanisten,x,x,33,0.2,x,x,x,x,x,x,33,0.2
Team Todenhöfer,x,x,135,0.7,x,x,x,x,x,x,135,0.7
Volt,x,x,166,0.9,x,x,x,x,x,x,166,0.9
Sonstige,x,x,x,x,116,0.5,64,0.3,x,x,x,x
