feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,35452,x,35452,x,34339,x,34339,x,1113,x,1113,x
ohne Wahlschein,25504,71.9,25504,71.9,28267,82.3,28267,82.3,-2763,-10.4,-2763,-10.4
mit Wahlschein,9948,28.1,9948,28.1,6072,17.7,6072,17.7,3876,10.4,3876,10.4
Wählende,21727,61.3,21727,61.3,22781,66.3,22781,66.3,-1054,-5.1,-1054,-5.1
darunter Briefwählende,8903,41,8903,41,5634,24.7,5634,24.7,3269,16.2,3269,16.2
Abgegebene Stimmen,21697,x,21693,x,22743,x,22747,x,-1046,x,-1054,x
Ungültige Stimmen,229,1.1,199,0.9,393,1.7,382,1.7,-164,-0.7,-183,-0.8
Gültige Stimmen,21468,98.9,21494,99.1,22350,98.3,22365,98.3,-882,0.7,-871,0.8
SPD,4082,19,3733,17.4,4949,22.1,4475,20,-867,-3.1,-742,-2.6
CDU,7022,32.7,6587,30.6,4069,18.2,3479,15.6,2953,14.5,3108,15.1
GRÜNE,1849,8.6,1863,8.7,1525,6.8,1522,6.8,324,1.8,341,1.9
DIE LINKE,2560,11.9,2625,12.2,4347,19.4,4171,18.6,-1787,-7.5,-1546,-6.4
AfD,3656,17,3651,17,5328,23.8,5398,24.1,-1672,-6.8,-1747,-7.1
FDP,703,3.3,773,3.6,827,3.7,881,3.9,-124,-0.4,-108,-0.3
Die PARTEI,411,1.9,298,1.4,574,2.6,411,1.8,-163,-0.7,-113,-0.5
Tierschutzpartei,888,4.1,675,3.1,x,x,515,2.3,888,4.1,160,0.8
PIRATEN,x,x,74,0.3,382,1.7,306,1.4,-382,-1.7,-232,-1
Graue Panther,x,x,143,0.7,x,x,347,1.6,x,x,-204,-0.9
NPD,66,0.3,56,0.3,349,1.6,320,1.4,-283,-1.3,-264,-1.2
Gesundheitsforschung,x,x,78,0.4,x,x,186,0.8,x,x,-108,-0.5
LKR,30,0.1,15,0.1,x,x,108,0.5,30,0.1,-93,-0.4
DKP,x,x,40,0.2,x,x,67,0.3,x,x,-27,-0.1
SGP,x,x,6,0,x,x,23,0.1,x,x,-17,-0.1
BüSo,x,x,4,0,x,x,28,0.1,x,x,-24,-0.1
B*,x,x,3,0,x,x,x,x,x,x,3,0
ÖDP,x,x,24,0.1,x,x,x,x,x,x,24,0.1
dieBasis,171,0.8,106,0.5,x,x,x,x,171,0.8,106,0.5
Bildet Berlin!,x,x,51,0.2,x,x,x,x,x,x,51,0.2
Die Grauen,x,x,178,0.8,x,x,x,x,x,x,178,0.8
du.,x,x,32,0.1,x,x,x,x,x,x,32,0.1
BÜNDNIS21,x,x,9,0,x,x,x,x,x,x,9,0
FREIE WÄHLER,x,x,112,0.5,x,x,x,x,x,x,112,0.5
Klimaliste Berlin,x,x,40,0.2,x,x,x,x,x,x,40,0.2
LD,30,0.1,x,x,x,x,x,x,30,0.1,x,x
MIETERPARTEI,x,x,67,0.3,x,x,x,x,x,x,67,0.3
Die Humanisten,x,x,45,0.2,x,x,x,x,x,x,45,0.2
Team Todenhöfer,x,x,79,0.4,x,x,x,x,x,x,79,0.4
Volt,x,x,127,0.6,x,x,x,x,x,x,127,0.6
Sonstige,x,x,x,x,x,x,128,0.6,x,x,x,x
