feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,31227,x,31227,x,32544,x,32544,x,-1317,x,-1317,x
ohne Wahlschein,25704,82.3,25704,82.3,29030,89.2,29030,89.2,-3326,-6.9,-3326,-6.9
mit Wahlschein,5523,17.7,5523,17.7,3514,10.8,3514,10.8,2009,6.9,2009,6.9
Wählende,13878,44.4,13878,44.4,16494,50.7,16494,50.7,-2616,-6.2,-2616,-6.2
darunter Briefwählende,4796,34.6,4796,34.6,3275,19.9,3275,19.9,1521,14.7,1521,14.7
Abgegebene Stimmen,13871,x,13848,x,16477,x,16483,x,-2606,x,-2635,x
Ungültige Stimmen,180,1.3,152,1.1,388,2.4,377,2.3,-208,-1.1,-225,-1.2
Gültige Stimmen,13691,98.7,13696,98.9,16089,97.6,16106,97.7,-2398,1.1,-2410,1.2
SPD,2366,17.3,2059,15,2971,18.5,2514,15.6,-605,-1.2,-455,-0.6
CDU,3013,22,3143,22.9,1468,9.1,1487,9.2,1545,12.9,1656,13.7
GRÜNE,419,3.1,482,3.5,665,4.1,556,3.5,-246,-1.1,-74,0.1
DIE LINKE,2499,18.3,2185,16,4611,28.7,4113,25.5,-2112,-10.4,-1928,-9.6
AfD,3945,28.8,3835,28,4916,30.6,4669,29,-971,-1.7,-834,-1
FDP,271,2,304,2.2,384,2.4,339,2.1,-113,-0.4,-35,0.1
Die PARTEI,262,1.9,194,1.4,x,x,193,1.2,262,1.9,1,0.2
Tierschutzpartei,709,5.2,547,4,x,x,445,2.8,709,5.2,102,1.2
PIRATEN,x,x,63,0.5,x,x,251,1.6,x,x,-188,-1.1
Graue Panther,x,x,128,0.9,x,x,365,2.3,x,x,-237,-1.3
NPD,89,0.7,80,0.6,406,2.5,429,2.7,-317,-1.9,-349,-2.1
Gesundheitsforschung,x,x,90,0.7,x,x,183,1.1,x,x,-93,-0.5
LKR,x,x,8,0.1,x,x,107,0.7,x,x,-99,-0.6
DKP,x,x,45,0.3,x,x,55,0.3,x,x,-10,0
SGP,x,x,6,0,x,x,20,0.1,x,x,-14,-0.1
BüSo,x,x,9,0.1,x,x,18,0.1,x,x,-9,0
B*,x,x,1,0,x,x,x,x,x,x,1,0
ÖDP,x,x,6,0,x,x,x,x,x,x,6,0
dieBasis,118,0.9,75,0.5,x,x,x,x,118,0.9,75,0.5
Bildet Berlin!,x,x,31,0.2,x,x,x,x,x,x,31,0.2
Die Grauen,x,x,129,0.9,x,x,x,x,x,x,129,0.9
du.,x,x,17,0.1,x,x,x,x,x,x,17,0.1
BÜNDNIS21,x,x,14,0.1,x,x,x,x,x,x,14,0.1
FREIE WÄHLER,x,x,48,0.4,x,x,x,x,x,x,48,0.4
Klimaliste Berlin,x,x,11,0.1,x,x,x,x,x,x,11,0.1
MIETERPARTEI,x,x,70,0.5,x,x,x,x,x,x,70,0.5
Die Humanisten,x,x,32,0.2,x,x,x,x,x,x,32,0.2
Team Todenhöfer,x,x,27,0.2,x,x,x,x,x,x,27,0.2
Volt,x,x,57,0.4,x,x,x,x,x,x,57,0.4
Sonstige,x,x,x,x,668,4.2,362,2.2,x,x,x,x
