feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,33609,x,33609,x,30084,x,30084,x,3525,x,3525,x
ohne Wahlschein,26049,77.5,26049,77.5,26066,86.6,26066,86.6,-17,-9.1,-17,-9.1
mit Wahlschein,7560,22.5,7560,22.5,4018,13.4,4018,13.4,3542,9.1,3542,9.1
Wählende,17734,52.8,17734,52.8,16815,55.9,16815,55.9,919,-3.1,919,-3.1
darunter Briefwählende,6792,38.3,6792,38.3,3774,22.4,3774,22.4,3018,15.9,3018,15.9
Abgegebene Stimmen,17712,x,17720,x,16788,x,16802,x,924,x,918,x
Ungültige Stimmen,182,1,167,0.9,317,1.9,358,2.1,-135,-0.9,-191,-1.2
Gültige Stimmen,17530,99,17553,99.1,16471,98.1,16444,97.9,1059,0.9,1109,1.2
SPD,2175,12.4,2461,14,2684,16.3,2649,16.1,-509,-3.9,-188,-2.1
CDU,7159,40.8,6084,34.7,3451,21,2522,15.3,3708,19.9,3562,19.3
GRÜNE,672,3.8,703,4,599,3.6,550,3.3,73,0.2,153,0.7
DIE LINKE,2694,15.4,2521,14.4,4118,25,4014,24.4,-1424,-9.6,-1493,-10
AfD,3501,20,3669,20.9,4277,26,4285,26.1,-776,-6,-616,-5.2
FDP,332,1.9,369,2.1,329,2,335,2,3,-0.1,34,0.1
Die PARTEI,x,x,183,1,x,x,199,1.2,x,x,-16,-0.2
Tierschutzpartei,773,4.4,582,3.3,x,x,408,2.5,773,4.4,174,0.8
PIRATEN,x,x,67,0.4,368,2.2,247,1.5,-368,-2.2,-180,-1.1
Graue Panther,x,x,113,0.6,x,x,279,1.7,x,x,-166,-1.1
NPD,51,0.3,48,0.3,288,1.7,313,1.9,-237,-1.5,-265,-1.6
Gesundheitsforschung,x,x,99,0.6,x,x,182,1.1,x,x,-83,-0.5
LKR,x,x,6,0,x,x,73,0.4,x,x,-67,-0.4
DKP,x,x,49,0.3,x,x,51,0.3,x,x,-2,0
SGP,x,x,8,0,x,x,24,0.1,x,x,-16,-0.1
BüSo,x,x,6,0,x,x,17,0.1,x,x,-11,-0.1
B*,x,x,6,0,x,x,x,x,x,x,6,0
ÖDP,x,x,9,0.1,x,x,x,x,x,x,9,0.1
dieBasis,173,1,91,0.5,x,x,x,x,173,1,91,0.5
Bildet Berlin!,x,x,36,0.2,x,x,x,x,x,x,36,0.2
Die Grauen,x,x,133,0.8,x,x,x,x,x,x,133,0.8
du.,x,x,24,0.1,x,x,x,x,x,x,24,0.1
BÜNDNIS21,x,x,13,0.1,x,x,x,x,x,x,13,0.1
FREIE WÄHLER,x,x,65,0.4,x,x,x,x,x,x,65,0.4
Klimaliste Berlin,x,x,20,0.1,x,x,x,x,x,x,20,0.1
MIETERPARTEI,x,x,78,0.4,x,x,x,x,x,x,78,0.4
Die Humanisten,x,x,30,0.2,x,x,x,x,x,x,30,0.2
Team Todenhöfer,x,x,26,0.1,x,x,x,x,x,x,26,0.1
Volt,x,x,54,0.3,x,x,x,x,x,x,54,0.3
Sonstige,x,x,x,x,357,2.2,296,1.8,x,x,x,x
