party,basic_mandates,direct_mandates_total,direct_mandates_overhang,mandates_including_overhang,list_mandates
Mitte ,2.0,2.0,0.0,2.0,0.0
Friedrichshain-Kreuzberg,2.0,0.0,0.0,2.0,2.0
Pankow,4.0,3.0,0.0,4.0,1.0
Charlottenburg-Wilmersdorf ,4.0,6.0,2.0,6.0,0.0
Spandau ,3.0,5.0,2.0,5.0,0.0
Steglitz-Zehlendorf  ,5.0,7.0,2.0,7.0,0.0
Tempelhof-Schöneberg ,5.0,4.0,0.0,5.0,1.0
Neukölln ,3.0,3.0,0.0,3.0,0.0
Treptow-Köpenick ,3.0,4.0,1.0,4.0,0.0
Marzahn-Hellersdorf ,4.0,4.0,0.0,4.0,0.0
Lichtenberg  ,3.0,4.0,1.0,4.0,0.0
Reinickendorf ,4.0,6.0,2.0,6.0,0.0
