party,basic_mandates,direct_mandates_total,direct_mandates_overhang,mandates_including_overhang,list_mandates
Mitte ,2.0,0.0,0.0,2.0,2.0
Friedrichshain-Kreuzberg,2.0,0.0,0.0,2.0,2.0
Pankow,3.0,1.0,0.0,3.0,2.0
Charlottenburg-Wilmersdorf ,3.0,0.0,0.0,3.0,3.0
Spandau ,2.0,0.0,0.0,2.0,2.0
Steglitz-Zehlendorf  ,3.0,0.0,0.0,3.0,3.0
Tempelhof-Schöneberg ,3.0,1.0,0.0,3.0,2.0
Neukölln ,2.0,1.0,0.0,2.0,1.0
Treptow-Köpenick ,2.0,1.0,0.0,2.0,1.0
Marzahn-Hellersdorf ,2.0,0.0,0.0,2.0,2.0
Lichtenberg  ,2.0,0.0,0.0,2.0,2.0
Reinickendorf ,2.0,0.0,0.0,2.0,2.0
