age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,2.9,3.0,2.9,2.9,3.0,2.9,0,0,0
21 bis unter 25,4.6,4.8,4.4,5.4,5.5,5.3,-0.8,-0.7,-0.9
25 bis unter 30,8.1,8.5,7.7,7.9,8.1,7.8,0.2,0.4,-0.1
30 bis unter 35,7.9,8.2,7.6,7.7,8.1,7.3,0.2,0.1,0.3
35 bis unter 40,7.2,7.8,6.6,6.6,6.9,6.3,0.6,0.9,0.3
40 bis unter 45,6.0,6.3,5.7,7.0,7.6,6.5,-1,-1.3,-0.8
45 bis unter 50,7.6,8.2,7.0,9.8,10.3,9.2,-2.2,-2.1,-2.2
50 bis unter 60,18.9,19.9,17.9,17.4,18.1,16.7,1.5,1.8,1.2
60 bis unter 70,14.1,14.0,14.2,15.0,15.1,15.0,-0.9,-1.1,-0.8
70 und älter,22.7,19.4,25.9,20.2,17.3,22.9,2.6,2.1,3
