age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,2.6,2.7,2.6,2.5,2.5,2.5,0.1,0.2,0.1
21 bis unter 25,4.1,4.1,4.0,5.4,5.4,5.4,-1.3,-1.3,-1.4
25 bis unter 30,8.1,8.4,7.8,9.2,9.2,9.1,-1.1,-0.8,-1.3
30 bis unter 35,9,9.3,8.8,9.1,9.5,8.7,-0.1,-0.2,0.1
35 bis unter 40,8.3,9.0,7.7,7.4,8.0,6.9,0.9,1,0.8
40 bis unter 45,6.8,7.1,6.4,7.3,8.0,6.7,-0.6,-0.9,-0.3
45 bis unter 50,7.9,8.6,7.3,9.5,10.1,8.9,-1.6,-1.5,-1.6
50 bis unter 60,18.7,19.6,17.9,17.1,17.8,16.4,1.6,1.8,1.5
60 bis unter 70,13.9,13.8,14.0,13.7,13.5,13.8,0.2,0.3,0.2
70 und älter,20.6,17.4,23.6,18.9,16.0,21.6,1.7,1.4,2
